Date,GSCI Energy,GSCI Ind Metals,GSCI Precious Metals,GSCI Agriculture,GSCI Livestock
19900101,347.7731,401.814,469.6961,818.1015,2197.35
19900102,364.3224,401.4072,465.2035,814.4603,2200.999
19900103,373.0557,414.5333,459.447,829.5958,2201.174
19900104,360.9106,410.4636,466.6967,825.8338,2224.507
19900105,346.0432,414.1438,474.7366,823.9421,2231.847
19900108,326.3606,421.4101,470.2503,825.5997,2240.529
19900109,333.848,417.1474,472.0609,826.5919,2234.366
19900110,347.1334,409.2867,480.9625,825.0575,2239.913
19900111,352.4814,413.5384,482.0568,826.6011,2256.759
19900112,351.4246,401.1292,482.2297,823.9997,2242.06
19900115,342.2908,394.1848,482.0217,823.6384,2247.147
19900116,343.4069,396.1649,478.8199,818.7254,2233.916
19900117,334.4468,394.3547,480.7197,821.0555,2253.03
19900118,337.9682,388.1831,477.5965,819.7815,2261.372
19900119,344.337,376.699,478.0957,814.8767,2270.285
19900122,337.5745,374.8552,476.2212,818.0383,2281.948
19900123,333.8212,370.0009,481.9391,819.4287,2269.385
19900124,333.7686,366.8531,485.6847,818.409,2253.762
19900125,340.8813,371.1094,484.9627,813.9984,2257.837
19900126,344.815,373.6581,490.1972,806.9578,2248.551
19900129,349.6771,367.8176,489.6319,806.501,2247.391
19900130,345.301,363.7159,487.9971,800.641,2254.034
19900131,345.7134,375.0128,481.5763,805.1528,2227.422
19900201,344.7916,371.6715,488.0513,805.057,2226.189
19900202,351.9402,380.6924,488.0913,808.1266,2230.514
19900205,341.3079,375.8024,492.6117,812.9927,2250.529
19900206,341.6575,377.7888,491.4699,809.8439,2249.937
19900207,338.8519,381.1089,487.7867,816.4801,2260.534
19900208,336.7781,380.161,488.5359,815.3314,2261.926
19900209,332.4408,385.3793,485.6128,821.7981,2252.642
19900212,337.4765,380.7851,490.2496,825.6621,2269.049
19900213,338.0391,393.763,489.002,820.8509,2273.717
19900214,340.3254,396.9541,488.6015,825.0771,2274.794
19900215,346.2664,401.8944,484.2018,826.2323,2280.074
19900216,342.1098,411.3045,488.7512,824.6008,2274.124
19900219,342.1098,411.3045,488.7512,824.6008,2274.124
19900220,341.4333,417.2974,492.9832,820.4554,2272.316
19900221,337.7446,420.8888,490.2941,828.75,2249.965
19900222,339.7846,420.203,487.375,833.5485,2262.782
19900223,337.9217,418.3496,486.5699,831.378,2272.581
19900226,342.9285,416.8723,478.2404,829.0115,2279.653
19900227,337.0165,415.7943,476.8721,825.9671,2283.808
19900228,333.2445,421.7269,475.2512,828.2052,2295.615
19900301,323.6039,425.5193,475.6493,822.3721,2297.115
19900302,327.9738,443.1466,472.5047,825.4607,2309.514
19900305,337.9709,455.5221,473.7796,832.7503,2305.26
19900306,332.3505,449.9675,473.8609,830.5126,2320.562
19900307,326.4962,447.336,469.8929,833.8929,2341.056
19900308,323.2362,452.3117,469.3882,841.716,2365.244
19900309,316.221,450.8503,468.6926,840.7484,2367.965
19900312,312.928,449.0004,468.1357,837.6564,2386.709
19900313,312.8766,440.3121,467.9528,836.9064,2384.802
19900314,315.2006,458.7731,467.3006,833.1089,2371.229
19900315,322.4849,467.2773,467.4682,842.9131,2376.863
