,Large Growth,Large Value,Small Growth,Small Value,MLPs,REITs,Foreign Growth,Foreign Value,Emerging Markets,High Yield,ST Inv Grade,Int Inv Grade,LT Inv Grade,TIPS,ST Treasury,Int Treasury,LT Treasury
,VIGRX,VIVAX,VISGX,VISVX,AMLP,VGISX,VWIGX,VTRIX,VEIEX,VWEHX,VFSTX,VFICX,VWESX,VIPSX,VFISX,VFITX,VUSTX
,Vanguard Index Trust Growth Index Fund,Vanguard Index Trust Value Index Fund,Vanguard Index Trust Small-Cap Growth Index Fund,Vanguard Index Trust Small-Cap Value Index Fund,Alerian MLP ETF,Virtus Duff & Phelps Global Real Estate Securities Fund I,Vanguard International Growth Fund,Vanguard International Value Fund,Vanguard Emerging Markets Stock Index Fund,Vanguard High Yield Corporate Fund,Vanguard Short-Term Investment Grade Fund Investor Shrs,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,Vanguard Long-Term Investment Grade Fund Investor Shrs,Vanguard Inflation Protected Securities Fund,Vanguard Short-Term Treasury Fund,Vanguard Intermediate-Term Treasury Fund,Vanguard Long-Term Treasury Fund
12/29/89,,,,,,,0.08058548,0.24729967,,-0.13227463,0,,-0.121212006,,,,0
1/02/90,,,,,,,-0.96618533,-0.7092178,,-0.13245344,-0.09588003,,0.12136698,,,,-0.30120015
1/03/90,,,,,,,0.9756088,0.8074522,,0,-0.09596944,,-0.24242997,,,,-0.30212402
1/04/90,,,,,,,1.6908169,1.3555169,,0.2652526,0,,0,,,,0
1/05/90,,,,,,,-0.9501159,-0.6990969,,0,0.096058846,,-0.12149811,,,,-0.20201802
1/08/90,,,,,,,0.31974316,0.36731958,,0,0,,-0.12165904,,,,-0.30364394
1/09/90,,,,,,,-0.23904443,0.030493736,,0,0,,0,,,,0
1/10/90,,,,,,,-0.079876184,0,,-0.13227463,0,,-0.12180805,,,,0
1/11/90,,,,,,,0.71942806,0.7317066,,0,0,,0,,,,-0.10152459
1/12/90,,,,,,,-0.555563,-0.39346814,,-0.26490092,-0.09596944,,-0.24389625,,,,-0.5081296
1/15/90,,,,,,,-0.877893,-0.79002976,,0,0,,-0.12225509,,,,-0.204283
1/16/90,,,,,,,-1.9323647,-1.7764211,,-0.13280511,-0.19211769,,-0.3671944,,,,-0.51177144
1/17/90,,,,,,,1.3136268,0.9978175,,-0.39893985,0,,0,,,,0
1/18/90,,,,,,,-1.4586747,-1.0805786,,0,-0.28874874,,-0.61425567,,,,-0.92592835
1/19/90,,,,,,,0.49341917,0.43694973,,0,0.09652376,,0,,,,0.41537285
1/22/90,,,,,,,-0.32733083,-0.46613216,,0,0,,0.24721622,,,,-0.10341406
1/23/90,,,,,,,0.90311766,0.4683137,,-0.13350844,0,,-0.12329817,,,,-0.6211102
1/24/90,,,,,,,-1.6273379,-1.3362348,,-0.13369322,-0.096434355,,-0.6172836,,,,-0.31250715
1/25/90,,,,,,,1.0752678,0.7559061,,-0.40160418,-0.0965178,,-0.124228,,,,-0.3134787
1/26/90,,,,,,,0.08182526,0.12503862,,-0.9408653,-0.09661913,,-0.621891,,,,-0.8385718
1/29/90,,,,,,,0.73589087,0.62441826,,-0.94979405,-0.0967145,,0,,,,0.21140575
1/30/90,,,,,,,0.081169605,0.2171874,,-0.13698936,0,,-0.37546754,,,,-0.42194128
1/31/90,,,,,,,-0.3244102,-0.030952692,,0.27434826,0.096809864,,0.50251484,,,,0.9533882
2/01/90,,,,,,,0.24409294,0.0928998,,0,0.0967145,,0.25000572,,,,0.20986795
2/02/90,,,,,,,0.56818724,0.5878687,,0,-0.09661913,,-0.12469292,,,,-0.52356124
2/05/90,,,,,,,0.9685278,1.045835,,-0.13679266,-0.0967145,,-0.37453175,,,,-0.3157854
2/06/90,,,,,,,-0.31974316,-0.12175441,,0,0,,-0.12531877,,,,-0.3167987
2/07/90,,,,,,,-0.8821249,-0.60957074,,-0.27397275,0,,-0.12546778,,,,0.105929375
2/08/90,,,,,,,0.080907345,-0.09199381,,0,0,,0.25125742,,,,0.31745434
2/09/90,,,,,,,-0.24251938,-0.24555326,,-0.41208863,0.19361973,,0.50126314,,,,1.1603475
2/12/90,,,,,,,-0.32414794,-0.55384636,,-1.1034489,0,,0.24937391,,,,-0.62565804
2/13/90,,,,,,,-0.48781037,-0.49504638,,-1.5341699,0,,-0.24874806,,,,0.3148079
2/14/90,,,,,,,0.40849447,-0.062191486,,0.42493343,-0.09661913,,0.124680996,,,,-0.10460615
2/15/90,,,,,,,0,-0.28002262,,0.28208494,0,,-0.24905801,,,,-0.52356124
